index,importance,stddev,p_value,n,p99_high,p99_low
Inflight wifi service,0.14631999999999998,0.004717202560840477,1.2945027378218264e-07,5,0.15603278527143863,0.13660721472856133
Type of Travel,0.09460000000000002,0.0052364109846344134,1.121965386470976e-06,5,0.10538184259225343,0.0838181574077466
Customer Type,0.0506,0.001630950643030027,1.293424542029984e-07,5,0.053958149916132285,0.04724185008386771
Class,0.048919999999999964,0.0019370080020485203,2.943430660962676e-07,5,0.05290832624851357,0.04493167375148636
Online boarding,0.007200000000000028,0.001392838827718426,0.00015998880220837567,5,0.010067874397350695,0.004332125602649362
Gate location,0.0048000000000000265,0.0017204650534085103,0.0016820598183574043,5,0.00834246132432224,0.0012575386756778126
Seat comfort,0.0038799999999999946,0.0015006665185843245,0.0022232026537381978,5,0.006969893103180614,0.0007901068968193753
Checkin service,0.001560000000000028,8.944271910003138e-05,1.2911053276139896e-06,5,0.0017441637948567457,0.0013758362051433102
Cleanliness,0.001440000000000019,0.0007797435475847265,0.007249999999999973,5,0.003045502741678101,-0.00016550274167806303
Food and drink,0.0011600000000000054,0.000589915248150089,0.005859405519336773,5,0.002374643649436247,-5.4643649436236395e-05
Inflight entertainment,0.0008800000000000141,0.0003898717737923156,0.0036227957496249826,5,0.001682751370838957,7.724862916107115e-05
Departure/Arrival time convenient,0.0008400000000000185,0.00021908902300204233,0.0005083313086443038,5,0.0012911073264933238,0.0003888926735067132
Baggage handling,0.0006799999999999917,0.0002683281573000031,0.002391254740107021,5,0.0012324913845699575,0.00012750861543002576
Leg room service,0.0005200000000000094,0.00033466401061364644,0.012740740740741963,5,0.0012090778234016952,-0.00016907782340167639
On-board service,0.00035999999999996034,8.944271909998174e-05,0.0004219162588006391,5,0.0005441637948565759,0.00017583620514334476
Flight Distance,0.00027999999999999136,0.00030331501776207617,0.05396941114614805,5,0.0009045298138311668,-0.000344529813831184
Age,0.00023999999999997358,0.00016733200530679669,0.01633896166840148,5,0.0005845389117007619,-0.00010453891170081466
Inflight service,0.00020000000000000017,0.0002828427124746271,0.09450182922759252,5,0.0007823770542869886,-0.00038237705428698825
Ease of Online booking,7.999999999999118e-05,0.00017888543819996348,0.1869504831500295,5,0.00044832758971322237,-0.00028832758971323994
Departure Delay in Minutes,0.0,0.0,0.5,5,0.0,0.0
Gender,0.0,0.0,0.5,5,0.0,0.0
Arrival Delay in Minutes,0.0,0.0,0.5,5,0.0,0.0
